tk,n,rho_infl,p_infl,rho_trad,p_trad,mean_pre_bps,mean_trad_bps,mean_infl_bps
EQH,913671,0.0228443156366208,9.928838268785963e-106,0.0001321840079083,0.8994553401999938,21.61268014117133,-44.87725852183504,2.667740889216513
EXC,1206398,0.0201667354645378,9.847870594115458e-109,0.0094128378037539,4.6981671617044935e-25,-9.002906336748337,6.201465034183091,0.6897968452296698
FLEX,1040844,0.0174638088585967,5.103211848699699e-71,0.0016630854387352,0.0897518397131035,-76.97710208304636,35.40930309747515,0.9294861543598296
F,892298,0.0343294359978135,8.095972820764258e-231,0.0015103615489379,0.1536636777221303,-48.05584360458456,15.365578499084522,5.92485612301009
GME,1078784,0.0332486570619413,1.8112697227301648e-261,0.013117344902013,2.850397869592764e-42,-14999.36030155481,354.35535498513104,3.692341897929771
HBAN,768624,0.02702079748064,4.182808731328734e-124,-0.0036403469453762,0.0014151583934285,-16.250513574004703,7.851085005298677,-0.7844799222925629
HST,765829,0.0307878660191819,5.810627814588709e-160,-0.0058048092353113,3.775954085425539e-07,-10.634248830665712,-7.816495386035688,0.26204420760345
INTU,923356,0.0283954625509782,5.414549937015013e-164,0.014399670377984,1.5128446185082218e-43,-19.49547791988889,9.920611314075472,2.51022946930411
JNJ,1729665,0.012134650685678,2.440116941239716e-57,0.0064621532144946,1.9140374605672465e-17,-3.937701929650882,-8.330453786768249,0.3282932885068338
KMX,935986,0.0282713342118425,8.93428538083883e-165,0.0059169185992681,1.0377157129583524e-08,-44.547939377971936,30.41550898008059,7.995098843700917
LLY,92962,0.0386349683535857,4.724629487177565e-32,0.005431552260569,0.0977112224766523,-3.410739852259728,-10.355494571694772,1.303811468899614
MAR,969225,0.016257768381647,1.1476512592708028e-57,0.0010599035004977,0.296732642701673,-10.221744076629063,-1.042192829139742,0.4668225569537156
META,1202049,-0.0013105482962099,0.1507583456471357,-0.0039550676401959,1.44921364186204e-05,-24.6643800039608,-0.5125853808509063,-0.6204262465621058
MRK,1722924,0.0154091108845832,5.639887428108239e-91,0.0085819430530796,1.9562973894235292e-29,-11.62485815185512,4.618359879991756,0.2000351023769666
NEE,1676891,0.0123708265339459,9.238050061532513e-58,-0.0022300551935695,0.0038793716785469,-9.484518222946134,4.02121700461812,-0.0301637778903482
NOC,572812,0.0289100428923213,3.617825013116605e-106,0.0002324357988459,0.860359048064771,-2.6571477377173505,-15.678960608628522,0.6421234344891749
NVO,1159511,0.0145342917410495,3.2488227048881453e-55,0.006666995195827,7.015540496314802e-13,-20.833511524666832,13.540906276403415,2.6113056251629967
OXY,1636561,0.0152181158768852,1.9972965165366828e-84,0.0085320328260745,9.766313491964806e-28,-17.455807687255916,6.959813331583093,0.1735417603064371
PEG,1134065,0.0186016250008296,2.391637356538699e-87,0.0014955887043947,0.1112300310629184,5.759062957604645,-11.296845935497688,-0.5280533332437596
PLAY,683001,0.0399965209374469,8.618983959113464e-240,0.0106774737029099,1.0993682227118724e-18,-107.54004536390488,23.117550043667663,3.1163674621574726
PTON,853920,0.0436280204159567,0.0,0.0194771924272469,1.943818180832718e-72,-179.38164128821336,61.49033599445544,5.806826700969051
RIO,1467029,0.0094638717229931,2.0242683325302857e-30,-0.0027581985152399,0.0008354929857805,-20.93682622584098,11.39967433681461,-0.2136902217185468
SBS,488226,-0.0286901653986773,1.9860933561762678e-89,-0.0432299942083188,1.2851306532177414e-200,5.195478152187686,721.4153400104096,756.2323408318844
SNAP,988598,0.0310166162847261,6.209174219080057e-209,-0.0004030164587892,0.6886323333782923,-150.89174560176394,64.16934247541568,9.608797704529785
SRE,959335,0.0221160241657604,4.455898170845443e-104,-0.0058400607157601,1.0644468347881116e-08,0.5721622127293826,-12.998500037397442,-1.08455708905929
SYY,1005759,0.0219907434811808,8.25335402213662e-108,0.0004555561044496,0.6477677581145755,7.670830598210525,-12.784122259181524,1.161115811777219
TGT,1425517,0.0220943474681614,2.16175117428744e-153,0.0132422196138534,2.603355829389281e-56,-20.656469228887712,15.919963212081823,5.749872579319892
TROW,892177,0.0278371217956471,1.9873179988742637e-152,0.0196341079268229,8.594072382758903e-77,-39.4103168926086,27.969724324560637,2.369938674640092
TTE,823817,0.0151281049887647,6.558259410705069e-43,0.003744384854127,0.0006773815970518,-13.694446473697056,4.9458074007806845,0.0434209208960204
UNH,128195,0.0083014808016017,0.0029556639666694,0.0120587008826411,1.5769791567907495e-05,9.751649855052234,-19.34648769496875,-0.01947868562236
VNO,820898,0.0278843044370661,7.001851567194948e-141,-0.0046801239707162,2.231524262639878e-05,-25.099759824652107,13.78604631090922,4.179410060074771
V,1606297,0.0151510826085995,3.457420013474401e-82,0.0090158149943483,3.07057634029926e-30,-7.626510211984303,-1.5223487983199324,1.4355176565286785
WY,1014268,0.0250260747455195,3.281860991357024e-140,0.0002825243901671,0.7760023807158333,-13.389127316143824,-1.0712496543100238,2.278820830112826
ZM,1285813,0.0372703066254613,0.0,0.0372272771544633,0.0,-131.93404996264877,74.20471519050464,5.563591191786838
